Name,Type,DataValueField,DataSource,QuartersLabel,Category,Title,Params,Description
Group,Group,,,,Grouping,,,"Groups conditions or other groups together in an ""all true"" or ""any one true"" relationship"
Age,NullInteger,,,,Personal,,,Enter an age. Leave blank to find those without a DOB.
GenderId,Code,,GenderCodes,,Personal,Gender,,Select Gender from the list.
MaritalStatusId,Code,,MaritalStatusCodes,,Personal,Marital Status,,Select Marital Status from the list.
Birthday,StringEqual,,,,Personal,Birthday,,Enter an exact date - Equal or Not Equal. (MM/DD/YYYY) or day of month (MM/DD) or month (MM) or year (YYYY)
BDate,Date,,,,Personal,Birthdate,,Pick a date with a comparison.
DaysTillBirthday,Integer,,,,Personal,Days Till Birthday,,Enter a number of days less than 365.
DaysTillAnniversary,Integer,,,,Personal,Days Till Anniversary,,Enter a number of days less than 365.
WeddingDate,StringEqual,,,,Personal,Wedding Date,,Enter an exact date - Equal or Not Equal. (MM/DD/YYYY) or day of month (MM/DD) or month (MM) or year (YYYY)
Grade,NullInteger,,,,Personal,,,Enter a number - grade or graduation year.
FirstName,String,,,,Personal,First Name,,Enter all or part of a First Name.
LastName,String,,,,Personal,Last Name,,Enter all or part of a Last Name.
NickName,String,,,,Personal,Nick Name,,Enter all or part of Goes By Name.
MaidenName,String,,,,Personal,Maiden Name,,Enter all or part of Maiden (Former) Name.
MiddleName,String,,,,Personal,Middle Name,,Enter all or part of Middle Name.
AltName,String,,,,Personal,AltName,,Enter all or part of a AltName.
SchoolOther,CodeStr,,Schools,,Personal,School,,Select School from list.
EmployerOther,CodeStr,,Employers,,Personal,Employer,,Select Employer from list.
OccupationOther,CodeStr,,Occupations,,Personal,Occupation,,Select Occupation from list.
HasPicture,Bit,,,,Personal,Has Picture,,Select True or False.
DeceasedDate,Date,,,,Personal,Deceased Date,,Pick a date with a comparison.
WidowedDate,Date,,,,Personal,Widowed Date,,Pick a date with a comparison.
TitleCode,CodeStr,Code,TitleCodes,,Personal,Title,,Select Title from list.
EmailAddress,String,,,,Personal,Email,,"Enter any part of an email address. Searches on 1st email, both active and inactive."
EmailAddress2,String,,,,Personal,Email2,,"Enter any part of an email address. Searches on 2nd email, both active and inactive."
PositionInFamilyId,Code,,FamilyPositionCodes,,Family,Position in Family,,Select Position from the list.
NumberOfFamilyMembers,Integer,,,,Family,Number of Family Members,,Enter a number with a comparison.
NumberOfPrimaryAdults,Integer,,,,Family,Number of Primary Adults,,Number of Primary Adults
HasParents,Bit,,,,Family,Has Parents,,Select True or False for children with a Primary Adult in the family.
